,text,old
343,['مدى طبق خطط جهز حكم'],مدى تطبيق الخطط في الأجهزة الحكومية
344,['قيم مدى كفي حفز ادة سلم وظف عمة'],تقييم مدى كفاية الحوافز المادية في سلم الوظائف العامة
345,['رجع عقد دري'],المرجع في العقود الإدارية
346,['قان الي ملك عرب سعد'],القانون المالي في المملكة العربية السعودية
347,['مدى كفي فعل نظم يزن عمة'],مدى كفاية وفعالية أنظمة الميزانية العامة
348,['قدم مذج بين فتح بنى حتي نتج ترتب'],مقدمة في نمذجة البيانات المفتوحة والبنى التحتية والنتائج المترتبة عليها
349,['قيد دري نظر طبق ٢'],القيادة الإدارية النظرية والتطبيقية ٢
350,['طور نظم عمل درة غير نظم'],تطوير المنظمات عملية إدارة التغيير التنظيمي
351,['كفي هنة لزم درب درب'],الكفايات المهنية اللازمة للتدريب لدى المدربين
352,['جرء حقق حكم نظم جرء جزي سعد'],إجراءات التحقيق والمحاكمة في نظام الإجراءات الجزائية السعودية
353,['طبق عمل فعل كمل سيس عمة درة'],التطبيق العملي الفعال التكامل بين السياسة العامة والإدارة
354,['حسب حكم'],المحاسبة الحكومية
355,['تصل دري استراتيجي طبق'],الاتصال الإداري إستراتيجيات وتطبيقات
356,['عدد خير طور قيد دري نسي جهز حكم'],إعداد واختيار وتطوير القيادات الإدارية النسائية في الأجهزة الحكومية
357,['سيس الة'],السياسات المالية
358,['حدد حجم مثل فاق حكم ملك عرب سعد'],تحديد الحجم الأمثل للإنفاق الحكومي في المملكة العربية السعودية
359,['حكم ظلم دعى لغء ضوء نظم سعد درس حلل قرن'],أحكام التظلم في دعوى الإلغاء في ضوء النظام السعودي : دراسة تحليلية مقارنة 
360,['قيس اثر قدر دري ثمر درس طبق شرك سعد'],قياس أثر القدرة الإدارية على الاستثمار : دراسة تطبيقية على الشركات السعودية
361,['دور حدد هوة نظم رغب نجح خدم وظف حسب يتر شخص عمل'],دور تحديد الهوية التنظيمية والرغبة في النجاح في استخدام الموظفين لحسابات تويتر الشخصية في العمل
362,['فاق رأسمال حكم نمو قصد طول اجل ملك عرب سعد'],الإنفاق الرأسمالي الحكومي والنمو الاقتصادي طويل الأجل في المملكة العربية السعودية
363,['دور علم درب جمع نمي هار قبل وجه نظر ستذ جمع حكم ارد'],دور التعليم والتدريب الجامعي في تنمية مهارات المستقبل من وجهة نظر أساتذة الجامعات الحكومية الأردنية.
364,['دور وسط دعم نظم درك علق قيد خدم غرق وظف'],الدور الوسيط للدعم التنظيمي المدرك في العلاقة بين القيادة الخادمة والاستغراق الوظيفي
365,['قدر وجه طور كفء ذتي لرد عمل'],قدرة التوجيه عن بعد في تطوير الكفاءة الذاتية لرائدات الأعمال.
366,['وذج حصئ قرح نبؤ عدد حال يوم صبة عفي وفة كوفيد'],نموذج إحصائي مقترح للتنبؤ بعدد الحالات اليومية للإصابة والتعافي والوفاة بكوفيد
367,['ميز غطرس رجس قئد اسس قوة'],التمييز بين غطرسة ونرجسية القائد على أساس القوة
368,['خصص شرع جلس شورى ملك عرب سعد'],الاختصاص التشريعي لمجلس الشورى في المملكة العربية السعودية
369,['حدد وذج تحط اثر سلب قلب يرد ترل ملك عرب سعد نتج'],تحديد أنموذج للتحوط من الأثر السلبي لتقلبات الإيرادات البترولية للمملكة العربية السعودية الناتجة
370,['كشف علق قيد دعم سلك صوت عمل'],استكشاف العلاقة بين القيادة الداعمة والسلوك الصوتي للعاملين
371,['دور قيد واضع عزز سلك باق عمل ظل دور وسط مثل نظم طبق'],دور القيادة المتواضعة في تعزيز السلوك الاستباقي للعاملين في ظل الدور الوسيط للتماثل التنظيمي بالتطبيق
372,['كيف قنو جزء عقد دري أثر طلب ق نفذ أمام ديو ظلم'],التكييف القانوني لجزاءات العقود الإدارية وأثره على طلب وَقْف تنفيذها أمام ديوان المظالم
373,['كفء خطط الي وزر علم ضوء تغر اقتصادية استراتيجية م قتر حة'],كفاءة التخطيط المالي بوزارة التعليم في ضوء التغيرات الاقتصادية : إستراتيجية مُقترَحة
374,['اثر قنن لجح كورو كوفيد 19 نفذ عقد جار دول'],الآثار القانونية لجائحة كورونا (كوفيد 19) على تنفيذ عقود التجارة الدولية
375,['اثر جئح كورو ادر الة نظم رعي صحة ملك عرب سعد'],آثار جائحة كورونا على الإدارات المالية في منظمات الرعاية الصحية في المملكة العربية السعودية
376,['وبء معلوماتي لجح كوفيد 19 درس استكشافية'],الوباء المعلوماتي لجائحة (كوفيد 19) : دراسة استكشافية
377,['جاب سيس عمة زمن غلق كبر درس فاد جئح كورو كوفيد 19'],استجابة السياسات العامة في زمن الإغلاق الكبير : دروس مستفادة من جائحة كورونا (كوفيد 19)
378,['نبؤ نشر مرض كوفيد 19 ملك عرب سعد'],التنبؤ بانتشار مرض (كوفيد-19) في المملكة العربية السعودية
379,['اثر اعل خضر وعي بيئ سلو هلك تجه نتج خضراء درس طبق عين عضء هيئ درس جمع شقراء'],أثر الإعلان الأخضر على الوعي البيئي، وسلوك المستهلك تجاه المنتجات الخضراء : دراسة تطبيقية على عينةٍ من أعضاء هيئة التدريس بجامعة شقراء.
380,['اثر صدق وقع عمل كفء ذتي بدع وصف تغر وسط علق قيد الخ رة غرق عمل بدع'],أثر الصداقة في موقع العمل والكفاءة الذاتية الإبداعية بوصفهما متغيرين وسيطين في العلاقة بين القيادة الخيَرة والاستغراق في العمل الإبداعي.
381,['قيم دام حسب جري قصد صري فتر 1977م 2017م'],تقييم الاستدامة في الحساب الجاري للاقتصاد المصري خلال الفترة 1977م - 2017م.
382,['كنولوج علم تصل إيجاد قيم قطع عام نطق صنع نطق خدم'],تكنولوجيا المعلومات والاتصالات وإيجاد القيمة في القطاع العام : منطق التصنيع مقابل منطق الخدمة.
383,['لغء نظم ملك عرب سعد درس حلل حكم نظم ضوء قضء ديو ظلم'],إلغاء الأنظمة في المملكة العربية السعودية: دراسة تحليلية للأحكام النظامية في ضوء قضاء ديوان المظالم.
384,['مرس فصح رأس مال بشر شرك ذات لكة حكم درج سوق الة سعد درس استكشافية'],ممارسة الإفصاح عن رأس المال البشري في الشركات ذات الملكية الحكومية المدرجة في السوق المالية السعودية: دراسة استكشافية.
385,['اثر وجد رأة جلس درة تحس ادء شرك اماراتية'],أثر وجود المرأة في مجالس الإدارة على تحسين أداء الشركات الإماراتية.
386,['قدم خدم عمة عمد شدد مول حكم كيف عمل نظم ربح خفض يزن حكم'],تقديم الخدمات العامة دون الاعتماد الشديد على التمويل الحكومي: كيف تتعامل المنظمات غير الربحية مع خفض الميزانية الحكومية؟
387,['ظهر أهل فرط سيق نظم رجع ادب نظر وتص بحث مرس'],ظاهرة التأهيل المفرط في السياق التنظيمي : مراجعة للأدبيات النظرية وتوصيات للبحث والممارسة.
388,['عمل ؤثر سرب وظف وثق علم سرة نظر امن يبر ملك عرب سعد'],العوامل المؤثرة في تسريب الموظفين للوثائق والمعلومات السرية من منظور الأمن السيبراني في المملكة العربية السعودية.
389,['خدم بطق ادء توز كمدخل دعم قدر نفس ؤسس علم جمع'],استخدام بطاقة الأداء المتوازن كمدخل لدعم القدرة التنافسية في مؤسسات التعليم الجامعي. 
390,['اطر عمل حكم ذكة الم كنة إنتر شيء درس حلة سيس امن يبر إنتر شيء وحل خدم حكم فيدرالية امر'],إطار عمل للحكومة الذكية المُمكنة بإنترنت الأشياء : دراسة حالة لسياسات الأمن السيبراني لإنترنت الأشياء وحالات الاستخدام في الحكومة الفيدرالية الأمريكية
391,['دور قطع بنك تمك سئل اجتماعية درس يدن بنك نطق شرق ملك عرب سعد'],دور القطاع البنكي في تمكين المسئولية الاجتماعية : دراسة ميدانية على بنوك المنطقة الشرقية في المملكة العربية السعودية.
392,['قدر فجة نتج أثر عدل ضخم سعد فتر 1970م 2018م'],تقدير فجوة الناتج، وأثرها على معدلات التضخم في السعودية خلال الفترة 1970م - 2018م .
393,['رجع استراتيجية حوكم مدى وفر بيئ سود درس يدن صرف سود'],المراجعة الإستراتيجية للحوكمة ومدى توافرها في البيئة السودانية دراسة ميدانية على بعض المصارف السودانية.
394,['حدد تحد ذكء صطناع قطع عام ادل رعي صحة عمة'],تحديد تحديات الذكاء الاصطناعي في القطاع العام أدلة من الرعاية الصحية العامة.
395,['اثر قنن يرس كورو كوفيد 19 لزم عقد ضوء نظر قوة قهر ظرف طرئ ملك عرب سعد'],الآثار القانونية لفيروس كورونا (كوفيد - 19) على الالتزامات التعاقدية في ضوء نظريتي القوة القاهرة والظروف الطارئة في المملكة العربية السعودية.
396,['طبق عمل نظر ضرر وجه يرس كورو ملك عرب سعد وذج'],التطبيقات العملية لنظرية الضرورة في مواجهة فيروس كورونا  (المملكة العربية السعودية نموذجاً). 
397,['دام نظم علم كترو ملك عرب سعد حلل ارء فيد نصة يتر ضل جئح كورو كوفيد 19'],استدامة نظام التعلم الإلكتروني في المملكة العربية السعودية من خلال تحليل آراء المستفيدين في منصة تويتر في ضل جائحة كورونا (كوفيد -19)
398,['ذكء صطناع إدر ازم درس حلة أزم جئح يرس كورو covid 19'],الذكاء الاصطناعي وإدارة الأزمات : دراسة حالة لأزمة جائحة فيروس كورونا (COVID-19).
399,['اثر نشر يرس كورو covid 19 ادء سوق سهم دول جلس تعا خلج'],أثر انتشار فيروس كورونا (COVID-19)على أداء أسواق الأسهم في دول مجلس التعاون الخليجي.
400,['ستى سلك قيد حول علق ذكء عطف دير درس علم عام كتب ربي'],مستوى السلوك القيادي التحويلي وعلاقته بالذكاء العاطفي لدى مديري مدارس التعليم العام بمكتب التربية
401,['درس أثر استراتيجية نظم علم رضا سهم نظم علم ادء شرك صغر حجم'],دراسة تأثير إستراتيجية أنظمة المعلومات على الرضا عن مساهمة أنظمة المعلومات في أداء الشركات صغيرة الحجم
402,['غير نظم ودر رسء دعم نظم تعلم ؤسس علم علي درس يدن عين'],التغيير التنظيمي ودوره في إرساء دعائم المنظمة المتعلمة بمؤسسات التعليم العالي : دراسة ميدانية على عينة
403,['اثر قيد مكن رفه نفس ربط عمل دور وسط رأس مال نفس'],أثر القيادة التمكينية على الرفاهية النفسية والارتباط بالعمل : الدور الوسيط لرأس المال النفسي
404,['عمل ؤثر قبل وظف قطع عام ملك عرب سعد درب كترو'],العوامل المؤثرة على تقبل موظفي القطاع العام بالمملكة العربية السعودية للتدريب الإلكتروني
405,['وزن ادء ورد بشر عمل توط وظف سعد درس حلة عمل توط طبء'],التوازن بين أداء المورد البشري وعملية توطين الوظائف (السعودة) : دراسة حالة عملية توطين الأطباء
406,['قيس اثر استقلالية رجع جاب سوق إعل ربح شرك سعد'],قياس أثر استقلالية المراجعة على الاستجابة السوقية لإعلانات الأرباح في الشركات السعودية
407,['عمد ذات نوع جنس علق قيد عمل جمع'],الاعتماد على الذات نوع الجنس، وعلاقته بالقيادة والعمل الجماعي
408,['دور رأة سعد حقق رؤة ملك 2030م'],دور المرأة السعودية في تحقيق رؤية المملكة 2030م
409,['تجه بحث حسب نشر مجل حكم ملك عرب سعد سنو 2001'],اتجاهات البحوث المحاسبية المنشورة بالمجلات المحكمة في المملكة العربية السعودية خلال السنوات 2001 
410,['اثر خدم نقط نصف حاد قيس يكر خصص سكومترية قيس قيس تجه']," أثر استخدام نقطة المنتصف ""محايد"" في مقياس ليكرت في الخصائص السكومترية للمقياس وقياس الاتجاهات "
411,['خدم نرن رضا وظف'],استخدام الانترنت والرضا الوظيفي
412,['وذج قرح نظم حفز كفآ نظم خدم دنة ملك عرب سعد'],نموذج مقترح لنظام الحوافز والمكافآت في نظام الخدمة المدنية في المملكة العربية السعودية
413,['قدر دري لزم طور ادء قيد جمع سعد ضوء رؤة 2030م'],القدرات الإدارية اللازمة لتطوير أداء القيادات بالجامعات السعودية في ضوء رؤية 2030م
414,['دور رأس مال فكر حقق تمز ؤسس جهز حكم سعد وجد تمك تغر وسط'],دور رأس المال الفكري في تحقيق التميز المؤسسي في الأجهزة الحكومية السعودية بوجود التمكين متغيراً وسيطاً 
416,['اطر قنو شرء شرك سهم أسهم درس حلل نقد ضوء نظم شرك سوق الي'],الإطار القانوني لشراء الشركات المساهمة لأسهمها : دراسة تحليلية نقدية في ضوء نظام الشركات والسوق المالي
417,['اثر خصص جلس درة نبؤ فشل الي شرك صنع صرة'],أثر خصائص مجلس الإدارة في التنبؤ بالفشل المالي للشركات الصناعية المصرية
418,['حمي جرئ حدث خاص درس نظم سعد قان قرن'],الحماية الإجرائية للحديث الخاص : دراسة في النظام السعودي والقانون المقارن
419,['افق بحث جدد سمو زرقاء سبر غور درس صناديق ودء هدف نظر مجذ رة'],آفاق البحث الجديدة (السماوات الزرقاء) وسبر أغوار المدروس (الصناديق السوداء) : هدف النظرية المجذّرة
420,['وقع جرب وظف بعث سعد شرك ياب'],واقع تجربة توظيف المبتعثين السعوديين في الشركات اليابانية
421,['امن علم بنك سعد وجه نظر رؤساء قني علم'],أمن المعلومات في البنوك السعودية من وجهة نظر رؤساء تقنية المعلومات
422,['اثر قيد خدم تحس جود حية عمل طبق ؤسس عمة تصل يمن'],أثر القيادة الخادمة في تحسين جودة حياة العمل بالتطبيق على المؤسسة العامة للاتصالات اليمنية 
423,['أثر علق عمل تمز نظم حكم'],تأثير علاقات العمل المتميزة في المنظمات الحكومية
424,['عدل نظم علق ميل سرب وظف درس يدن عضء هيئ درس سعد'],العدالة التنظيمية وعلاقتها بالميل نحو التسرب الوظيفي : دراسة ميدانية على أعضاء هيئة التدريس السعوديين
425,['علق كفي ذتي وجد حية وظف ربط وظف درس طبق عمل بمه'],العلاقة بين الكفاية الذاتية وجودة الحياة الوظيفية والارتباط الوظيفي : دراسة تطبيقية على العاملين بمهنة
426,['دور شبك وصل جمع حفز نمو قصد مشاريع صغر توسط درس يدن'], دور شبكات التواصل الاجتماعي في تحفيز النمو الاقتصادي للمشاريع الصغيرة والمتوسطة : دراسة ميدانية
427,['يضح خدم وظف نظم طبق ادء وظف أثر حتى صدر شبك علق اجتماعية'],ايضاح استخدام الموظف لنظام بعد تطبيقه، والأداء الوظيفي : تأثير محتوى ومصدر شبكة العلاقات الاجتماعية
428,['صرع نظم سبب واستراتيجي درت نتج حلة جمع كوت'],الصراع التنظيمي، أسبابه واستراتيجيات إدارته ونتائجه : حالة جامعة الكويت
429,['لغة دفع كمتغير وسط قيد خدم وكل سلك وطن نظم تزم تبع قئد طبق شرك جار جزئ غذي اسكندرية مصر'],"اللغة الدافعة كمتغير وسيط بين القيادة الخادمة وكل من سلوك المواطنة التنظيمية والتزام التابعين نحو القائد بالتطبيق
على شركات تجارة تجزئة التغذية بالاسكندرية – مصر"
430,['دور لكة جنب لحد درة ربح دلل شرك قيد ورص صرة'],دور الملكية الأجنبية في الحد من إدارة الأرباح : دليل من الشركات المقيدة بالبورصة المصرية
431,['دمج قضا تبن تقن علم تصل نظر قيد الكترونية'],دمج قضايا تبني تقنيات المعلومات والاتصالات في نظرية القيادة الإلكترونية
432,['قيم دام الة ملك عرب سعد درس طبق 1969 2015م'],تقييم الاستدامة المالية في المملكة العربية السعودية: : دراسة تطبيقية 1969-2015م
433,['أثر تغر شخص نظم عمل صنع قرر خلق درس يدن حسب'], تأثير بعض المتغيرات الشخصية والتنظيمية في عملية صنع القرار الأخلاقي: : دراسة ميدانية للمحاسبين
434,['علق تغر قصد كلي عئد سهم درس اختبارية فرض كفء سوق نظر سعر'],العلاقة بين متغيرات الاقتصاد الكلي وعوائد الأسهم: : دراسة اختبارية لفرض كفاءة السوق ونظرية التسعير
435,['نظم وزن سعد قيم ؤسس'], نظام الموازنة السعودي : تقييم مؤسسي
436,['دور استراتيجي درة وهب جهز درة عمة كوت حقق ميز نفس'],دور إستراتيجيات إدارة المواهب في أجهزة الإدارة العامة الكويتية في تحقيق ميزات تنافسية
437,['عمل ؤثر قيم دفتر لشر تأم درج سوق الة سعد'],العوامل المؤثرة على القيم الدفترية لشركات التأمين المدرجة في السوق المالية السعودية 
438,['ضمن أدب شبه قضي درس حلل أدب قضي لئح نظم لشؤ نسب جمع'],ضمانات التأديب شبه القضائي : دراسة تحليلية للتأديب القضائي في اللائحة المنظمة لشؤون منسوبي الجامعات
439,['حدث فهم سءل يكب وقع درة قطع عام قرن حدي عشر'],تحديث مفهوم المساءلة ليواكب واقع إدارة القطاع العام في القرن الحادي والعشرين
440,['اثر بدع دري علق استراتيجي درة عرف نظم فعل نظم وزر'],أثر الإبداع الإداري في العلاقة بين إستراتيجيات إدارة المعرفة التنظيمي والفعالية التنظيمية للوزارات
441,['وقع نمي واستثمار ورد الة جمع خير درس يدن بمد ريض'],واقع تنمية واستثمار الموارد المالية في الجمعيات الخيرية: : دراسة ميدانية بمدينة الرياض
442,['أثر ذكء عطف أنماط عمل صرع نتج قرر استراتيجية قيد علاقاتية'],تأثير الذكاء العاطفي وأنماط العامل مع الصراع في نتائج القرارات الإستراتيجية من خلال القيادة العلاقاتية
443,['حسب دري قطع عام قصد نشئ عرض ادب'],المحاسبة الإدارية في القطاع العام في الاقتصاديات الناشئة: : استعراض الأدبيات
444,['عمل درة عرف كمتغير وسط علق توج ريد ادء نظم'],عمليات إدارة المعرفة كمتغير وسيط في العلاقة بين التوجه الريادي والأداء التنظيمي
445,['حلل علق فصح حسب علم مستقبلية كلف رأس مال أثر كفء قرر'], تحليل العلاقة بين الإفصاح المحاسبي عن المعلومات المستقبلية وتكلفة رأس المال وأثرها على كفاءة القرارات
446,['سلط قدر درة جال أدب بحث حلل ضوء حكم ديو ظلم سعد'],السلطة التقديرية للإدارة في المجال التأديبي : بحث تحليلي على ضوء أحكام ديوان المظالم السعودي
447,['حوكم مدن درس يدن'],حوكمة المدن : دراسة ميدانية
448,['ماط ثقف نظم فضل طلب عمل سعد'],أنماط الثقافة التنظيمية المفضلة لدى طالبي العمل السعوديين
449,['اثر تحل طبق معايير حسب سعد الى معايير دول قرر الي هنة رجع'],أثر التحول من تطبيق معايير المحاسبة السعودية إلى المعايير الدولية للتقرير المالي على مهنة المراجعة
450,['اثر خصص صمم نظم علم فعل نظم علم سوق شرك صغر توسط'],أثر خصائص تصميم نظم المعلومات في فعالية نظم المعلومات التسويقية في الشركات الصغيرة والمتوسطة
451,['استراتيجي وجه ضغط علق رضا وظف خصئ نفس عمل قطع صحي'],إستراتيجيات مواجهة الضغوط وعلاقتها بالرضا الوظيفي لدى الأخصائيين النفسيين العاملين بالقطاع الصحي
452,['درة استراتيجية ادء نظم عمة نتج وذج ايلز miles سنو snow'],"الإدارة الإستراتيجية والأداء في المنظمات العامة : نتائج من نموذج مايلز ""Miles"" وسنو ""snow"" "
453,['عدد وظف وظف خدم دنة ملك عرب سعد سبب اثر اجتماعية'],تعدد الوظائف لدى موظفي الخدمة المدنية في المملكة العربية السعودية : الأسباب والآثار الاجتماعية
454,['اثر استراتيجية مول قيم سهم شرك دلل شرك قطع صنع سعد'],أثر استراتيجية التمويل في قيمة سهم الشركة : دليل من شركات قطاع الصناعة السعودية
455,['درس قيس حدد قيم سوق لأس بنك سلم درج ورص قطر ورق الة'],دراسة قياسية لمحددات القيمة السوقية لأسهم البنوك الإسلامية المدرجة في بورصة قطر للأوراق المالية
456,['حدد ضعف رقب دخل أثر ستى حفظ حسب قرر الة شرك سجل'],محددات ضعف الرقابة الداخلية وأثره على مستوى التحفظ المحاسبي في التقارير المالية للشركات المسجلة
457,['قيس نمو قطع ربح حلل طول بين'],قياس النمو في القطاع غير الربحي : تحليل طولي للبيانات 
458,['اثر استقلالية جلس درة ادء شرك دلل سعد'],أثر استقلالية مجلس الإدارة في أداء الشركة : دليل من السعودية
459,['اثر خصص جلس درة لكة ؤسس جود رجع خرج شرك سهم سعد'],أثر خصائص مجلس الإدارة والملكية المؤسسية في جودة المراجعة الخارجية في الشركات المساهمة السعودية
460,['اثر ماثل صدم سعر نفط تغر اقتصادية كلة ملك عرب سعد'],الأثر غير المتماثل لصدمات أسعار النفط على المتغيرات الاقتصادية الكلية في المملكة العربية السعودية
461,['عمل حكم دخل دور قطع عام خاص'],عمل الحكومة : التداخل بين أدوار القطاع العام والخاص
462,['دور ثقة نظم سءل دري علق قيد خلق سلك خلق عمل'],دور الثقة التنظيمية والمساءلة الإدارية في العلاقات بين القيادة الأخلاقية والسلوك الأخلاقي للعاملين
463,['عرض حكم قضي خطأ وصف نظم سعد'],الاعتراض على الحكم القضائي لخطأ في وصفه في النظام السعودي
464,['تجه قلد درة عمد نظم معلوماتية قطع حكم سعد أثر'],الاتجاهات التقليدية في إدارة واعتماد الأنظمة المعلوماتية في القطاعات الحكومية السعودية وتأثيرها
465,['اثر خصص هني دور حسب قضي كشف مرس لعب رقم الة درس'],أثر التخصص المهني على دور المحاسبة القضائية في اكتشاف ممارسات التلاعب بالأرقام المالية: دراسة
466,['اثر ذكء عطف قدة رحل عمل خطط استراتيجي درس طبق كلي درة عمل'],أثر الذكاء العاطفي للقادة على مراحل عملية التخطيط الإستراتيجي : دراسة تطبيقية على كليات إدارة الأعمال
467,['رضا وظف عمل ظل نظر قيد خدم درس يدن عين عمل جهز'], الرضا الوظيفي للعاملين في ظل نظرية القيادة الخادمة : دراسة ميدانية على عينة من العاملين بالأجهزة
468,['جنب قنن خير قدة دري درس طبق ملك عرب سعد'],الجوانب القانونية في اختيار القادة الإداريين : دراسة تطبيقية في المملكة العربية السعودية 
469,['حكم نظم رقي قيد دري وفق ائح ترق ملك عرب سعد'],الأحكام النظامية في ترقية القيادات الإدارية وفقًا للائحة الترقيات في المملكة العربية السعودية
470,['قيد أهداف وقم عمل قطع حكم'],القيادة وأهداف وقيم العمل في القطاع الحكومي
471,['دور مرس درة ورد بشر بنء برع نظم وثر ادء نظم'],دور ممارسات ادارة الموارد البشرية في بناء البراعة التنظيمية واثرهما على الاداء التنظيمي
472,['عمل سلك ؤثر ولء خدم هتف خلي زود خدم ملك عرب سعد'],العوامل السلوكية المؤثرة على ولاء مستخدمي الهاتف الخلوي لمزودي الخدمة في المملكة العربية السعودية
473,['هيكل سوق صرف سلم علق كفء ادء درس قرن جلس تعا لدل خلج'],هيكلية السوق المصرفية الاسلامية وعلاقتها بكفاءة الاداء : دراسة مقارنة في مجلس التعاون لدول الخليج
474,['حق تهم حكم عدل مواثيق دول'],حق المتهم في محاكمة عادلة في المواثيق الدولية
475,['وطن شرك عمل عدا نظر وقع جمهور درة عمة'],المواطن، الشريك، العميل : اعداة النظر في موقع الجمهور في الادارة العامة
476,['قيد ريد وتطبيقات جمع'],القيادة الريادية وتطبيقاتها في الجامعات
477,['ضبط سن سيس عمة درس نظر شرع دري'],ضوابط سن السياسة العامة: دراسة من المنظور الشرعي الإداري
478,['درج مرس عضء هيئ درس جمع ام قرى قيد خلق وإنعكاسات طلب'],درجة ممارسة أعضاء هيئة التدريس بجامعة أم القرى للقيادة الأخلاقية وإنعكاساتها على الطلبة
479,['اثر غير دور رجع خرج جود قئم الة شرك سهم طبق بنك'], أثر التغيير الدوري للمراجع الخارجي على جودة القوائم المالية بالشركات المساهمة: بالتطبيق على البنوك
480,['وقع استراتيجي ريد جمع سعد درس يدن جمع ملك سعد'],واقع إستراتيجيات الريادة في الجامعات السعودية : دراسة ميدانية على جامعة الملك سعود
481,['اثر درة تزم عمل جود حية عمل نظم حكم بدل امر عرب تحد'], أثر الإدارة والتزامات العاملين على جودة حياة العمل في المنظمات الحكومية بدولة الإمارات العربية المتحدة
482,['حدد فصح حسب سؤل اجتماعية شرك سعد درج درس طبق'],محددات الإفصاح المحاسبي عن المسؤولية الاجتماعية في الشركات السعودية المدرجة : دراسة تطبيقية
483,['اثر بدل جاب قيس يكر خصص سيكومترية قيس قيس تجه'],أثر عدد بدائل الاستجابة في مقياس ليكرت على الخصائص السيكومترية للمقياس وقياس الاتجاهات
484,['عشر درس بطق ادء توز تجه جاز فجو فرص بحث مستقبلية'],عشرون عاماً من دراسات بطاقة الأداء المتوازن : الاتجاهات، الإنجازات، الفجوات والفرص لبحوث مستقبلية
485,['درس حلل عمل ؤثر طور نشط جمع خير ملك عرب سعد درس'],دراسة وتحليل العوامل المؤثرة على تطوير نشاط الجمعيات الخيرية في المملك العربية السعودية : دراسة
486,['جود لجن رجع ستى فصح خير بشر سهم سعد درس نظر طبق'],اثر جودة لجان المراجعة على مستوى الافصاح الاختياري بشركات المساهمة السعودية : دراسة نظرية تطبيقية
487,['ناج تغر تقن صرف سلم هجي ؤشر مالمكويست'],الانتاجية والتغير التقني في المصارف الاسلامية : منهجية مؤشر مالمكويست
488,['توج ريد ادء صرف عمل ارد'],اثر التوجة الريادي في اداء المصارف العاملة في الأردن
489,['تجه خصة درس درة عمة لحظ جرب ونع جلة رجع درة عمة 2000'], الاتجاهات الخاصة بدراسة الادارة العامة : ملاحظات تجريبية ونوعية من مجلة مراجعة الادارة العامة 2000
490,['حق تهم سعد قنن نظم عدل جني سعد'],حق المتهم في المساعدة القانونية في نظام العدالة الجنائية السعودي 
491,['رجع شرك جود ربح حسب شرك سجل سوق ورق الة سعد'],اثر المراجعة المشتركة على جودة الارباح المحاسبية للشركات المسجلة في سوق الاوراق المالية السعودي
492,['قيم ادء ادر الة درة عمة كوت نظر عمل تلك ادر'],تقييم اداء الادارات المالية في الادارة العامة الكويتية من منظور العاملين في تلك الإدارات
493,['فهم ديناميكي عقد شفف'],فهم الديناميكيات المعقدة للشفافية
494,['قبل علم علي وطن عرب ظل تحد علم'],مستقبل التعليم العالي في الوطن العربي في ظل التحديات العالمية
495,['خدم حفز سلب لزم نظم نشر سلك سلب درس طبق'],اثر استخدام الحوافز السلبية على الالتزام التنظيمي وانتشار السلوكيات السلبية : دراسة تطبيقية
496,['جود حوكم شرك سيس وزع ربح سوق كوت الة'], اثر جودة حوكمة الشركات على سياسة توزيع الارباح في سوق الكويت المالية
497,['شكل قنن نشئ قدم قيم حصة عين شرك سهم'],الاشكالات القانونية الناشئه عن تقديم وتقييم الحصة العينية في شركات المساهمة
498,['تمك وظف تجه وظف وعلاقاته ادء خبر وذج سبب'], التمكين الوظيفي والاتجاهات الوظيفية وعلاقاتهما بالأداء : اختبار نموذج سببي
499,['الي ودو حدد حيج درب جهز حكم ملك عرب سعد'],آليات وادوات تحديد الاحتياجات التدريبية في الاجهزة الحكومية في المملكة العربية السعودية
500,['سيس سوق عمل نشط ملك عرب سعد درس فاد ؤشر قيم'],سياسات سوق العمل النشطة بالمملكة العربية السعودية : دروس مستفادة حول مؤشرات التقييم 
501,['دور خصص صنع رجع خرج لحد مرس درة ربح درس يدن شرك سهم'],دور التخصص الصناعي للمراجع الخارجي في الحد من ممارسات ادارة الارباح : دراسة ميدانية على شركات المساهمة
502,['نظم قنو مجل جري نظم سعد درس'], التنظيم القانوني للمجل التجاري في النظام السعودي : دراسة
503,['كفء سوق الة وامكانية كمل الي جلس تعا لدل خلج عرب'], كفاءة الاسواق المالية وامكانية التكامل المالي بين مجلس التعاون لدول الخليج العربية
504,['تمك وظف ادة استراتيجية حصل يزة نفس دام'],تمكين الموظف : اداة استراتيجية للحصول على ميزة تنافسية مستدامة
505,['نظم قنو شيك كترو وحج عمل درس حلل قرن'],"النظام القانوني للشيك الالكتروني وحجية التعامل به "" دراسة تحليلية مقارنه """
506,['دور جهز رقب تحس ادء جهز حكم دول جلس تعا لدل خلج عرب'],دور الأجهزة الرقابية في تحسين أداء الأجهزة الحكومية في دول مجلس التعاون لدول الخليج العربية
507,['حقق الك عقر مره وفق نظم رهن عقر سجل ملك عرب سعد درس قرن'],"حقوق مالك العقار المرهون وفق نظام الرهن العقاري المسجل في المملكة العربية السعودية "" دراسة مقارنة "" "
508,['تمك وطن شرك تحس ادء جهز حكم'],تمكين المواطنين من المشاركة في تحسين أداء الاجهزة الحكومية
